id,class name
2,dthauptversammlung19
1,arbeitgebertag15
1366,th_th_strategie_171117
1365,th_th_europa_170519
1363,th_mms_020519
1358,oettinger_hoettges
697,htgsplit(1746)
1364,th_nachhaltigkeit_240918
1,arbeitgebertag15
2,dthauptversammlung19
210,htgsplit(1210)
1359,symposium_th
1360,sz_wirtschaftsgipfel_16
1366,th_th_strategie_171117
1365,th_th_europa_170519
1364,th_nachhaltigkeit_240918
791,htgsplit(1841)
1,arbeitgebertag15
512,htgsplit(1557)
2,dthauptversammlung19
1364,th_nachhaltigkeit_240918
1362,th_bitkom_trendkongress
1359,symposium_th
1366,th_th_strategie_171117
1359,symposium_th
1,arbeitgebertag15
1366,th_th_strategie_171117
1366,th_th_strategie_171117
1365,th_th_europa_170519
1178,htgsplit(2232)
1358,oettinger_hoettges
1359,symposium_th
1359,symposium_th
1356,medientage_muc_14
1,arbeitgebertag15
1366,th_th_strategie_171117
289,htgsplit(1291)
1364,th_nachhaltigkeit_240918
333,htgsplit(1337)
494,htgsplit(1538)
1359,symposium_th
1366,th_th_strategie_171117
1364,th_nachhaltigkeit_240918
1214,htgsplit(2268)
1368,townhall_new
1,arbeitgebertag15
1362,th_bitkom_trendkongress
220,htgsplit(1220)
1363,th_mms_020519
1362,th_bitkom_trendkongress
1360,sz_wirtschaftsgipfel_16
1364,th_nachhaltigkeit_240918
1219,htgsplit(2273)
1368,townhall_new
1366,th_th_strategie_171117
2,dthauptversammlung19
1356,medientage_muc_14
1362,th_bitkom_trendkongress
1367,townhall_22_6
1355,impuls
1365,th_th_europa_170519
1367,townhall_22_6
1364,th_nachhaltigkeit_240918
1365,th_th_europa_170519
1366,th_th_strategie_171117
1366,th_th_strategie_171117
1362,th_bitkom_trendkongress
1367,townhall_22_6
1365,th_th_europa_170519
1355,impuls
1365,th_th_europa_170519
192,htgsplit(1190)
2,dthauptversammlung19
3,forschungsgipfel16
1362,th_bitkom_trendkongress
1366,th_th_strategie_171117
1366,th_th_strategie_171117
1367,townhall_22_6
1362,th_bitkom_trendkongress
1365,th_th_europa_170519
1360,sz_wirtschaftsgipfel_16
1359,symposium_th
3,forschungsgipfel16
431,htgsplit(1474)
1,arbeitgebertag15
2,dthauptversammlung19
1355,impuls
1363,th_mms_020519
1363,th_mms_020519
1368,townhall_new
3,forschungsgipfel16
1368,townhall_new
1367,townhall_22_6
1363,th_mms_020519
1368,townhall_new
1368,townhall_new
1365,th_th_europa_170519
808,htgsplit(1858)
1362,th_bitkom_trendkongress
1368,townhall_new
1362,th_bitkom_trendkongress
1368,townhall_new
3,forschungsgipfel16
1365,th_th_europa_170519
1366,th_th_strategie_171117
1360,sz_wirtschaftsgipfel_16
1356,medientage_muc_14
1365,th_th_europa_170519
2,dthauptversammlung19
1366,th_th_strategie_171117
1367,townhall_22_6
1366,th_th_strategie_171117
1364,th_nachhaltigkeit_240918
1356,medientage_muc_14
1366,th_th_strategie_171117
1362,th_bitkom_trendkongress
908,htgsplit(1958)
260,htgsplit(1261)
2,dthauptversammlung19
1367,townhall_22_6
1359,symposium_th
1365,th_th_europa_170519
1362,th_bitkom_trendkongress
1355,impuls
1340,htgsplit(2395)
1,arbeitgebertag15
1355,impuls
1366,th_th_strategie_171117
1362,th_bitkom_trendkongress
